cluster_number	num_seg	latitude	longitude
999999	2	-3.21732748931697	40.126832186803
999999	2	-3.21685917444566	40.1272103259819
999999	2	-3.21661750025944	40.1275055156961
999999	2	-3.21605752326633	40.1277948016159
999999	2	-3.21546217896797	40.1278302243816
999999	2	-3.21494935736305	40.127777090233
999999	2	-3.21456032011145	40.1279778192387
999999	2	-3.21416538820432	40.1282671051585
999999	2	-3.21371438023194	40.128538839686
999999	2	-3.21317797969706	40.1288045104287
999999	2	-3.21264100936007	40.1291432790018
999999	2	-3.21218713152544	40.1294679876873
999999	2	-3.21179219869997	40.1296569091044
999999	2	-3.21122841193866	40.1297811348958
999999	2	-3.21072148273358	40.1298755956043
999999	2	-3.21026170951602	40.1300054790786
999999	2	-3.20967106677838	40.1299990545944
999999	2	-3.20931739472728	40.1301230342743
999998	2	-3.2171979944457	40.1271229643962
999998	2	-3.2165789572894	40.1275511104009
999998	2	-3.2158647604606	40.1279472895816
999998	2	-3.21482093342646	40.1280243244223
999998	2	-3.21399685869762	40.1276171402644
999998	2	-3.21323222566488	40.1277411941122
999998	2	-3.21277074318024	40.1282364180881
999998	2	-3.21294654605614	40.1290397814268
999998	2	-3.21318297728354	40.1299136531255
999998	2	-3.21386421298379	40.1296165187399
999998	2	-3.21369939793673	40.1308050562822
999998	2	-3.21329741703704	40.132180926963
999998	2	-3.21314358957516	40.1332924296646
999998	2	-3.21282494690181	40.1342058427757
999998	2	-3.21264914400498	40.1349982011372
