cluster_number	latitude	longitude
999999	-3.21234578965294	40.133440772716
999999	-3.21479154251722	40.1335737423015
999999	-3.21644002320421	40.132856469716
999999	-3.21511583401042	40.131692593445
999999	-3.21627787768103	40.1308941201894
999999	-3.21385920389999	40.130393382724
999999	-3.21169725600273	40.1314219245448
999999	-3.21145403657777	40.1300009128187
999999	-3.21225125558773	40.1283203964173
999999	-3.2151698825826	40.1285369315374
999999	-3.21621031703875	40.1272918545965
999999	-3.21311603482682	40.1269805853612
999999	-3.21115336675959	40.1261007224844
999999	-3.21101824479202	40.1248285786534
999999	-3.21132902529069	40.1237323696076
999999	-3.21309912110985	40.1250315803286
999999	-3.21477462882804	40.1261277893745
999999	-3.21440980076888	40.1274405335405
999999	-3.21639948146517	40.1289977482725
999999	-3.21515636507916	40.1300533569834
999999	-3.21384568637919	40.1290383486076
999999	-3.21571036278619	40.1280910074568
999999	-3.21117027514809	40.1279556730067
999999	-3.21268363993818	40.131535111443
999999	-3.20953541527747	40.1316528852075
999999	-3.20988673286597	40.1326814270283
999999	-3.21077853850952	40.133561100954
999999	-3.21408358498735	40.1346932472685
999999	-3.21351607423238	40.132717364297
999999	-3.21203807500877	40.1352210516239
999999	-3.21542128766075	40.1343549111433
999999	-3.21731882439102	40.1341348718571
999999	-3.21711614265774	40.1320642547704
999999	-3.21719721535589	40.1312387146248
999998	-3.21137534592572	40.1331707809074
999998	-3.21377449679464	40.1336837653437
999998	-3.2160927720508	40.1339807563331
999998	-3.21579624876541	40.132333806301
999998	-3.21377449679464	40.1314968316945
999998	-3.21587711876089	40.1290939045985
999998	-3.21328927572551	40.1289589086942
999998	-3.21482580831952	40.1272039619387
999998	-3.21397806938232	40.1301354095791
999998	-3.21264871729761	40.1305069506819
999998	-3.21551705212653	40.1307258109736
999998	-3.21659016903823	40.1287048183738
999998	-3.21625676411135	40.1276605332154
999998	-3.21464344647777	40.12853666292
999998	-3.21318466280569	40.1270355472962
999998	-3.21266382416948	40.1257566228498
999998	-3.21138795625518	40.1253106086265
999998	-3.21081772066509	40.1266924969486
999998	-3.21127359059115	40.1241572662804
999998	-3.21259001731839	40.1246245051951
999998	-3.21407289736395	40.1252040109744
999998	-3.21145019103033	40.1232953399257
999998	-3.21571519127588	40.1265121561804
999998	-3.21701704124549	40.1271847792428
999998	-3.21689044494994	40.1298835270614
999998	-3.2169921182571	40.1300198837837
999998	-3.21692819758015	40.1317333218727
999998	-3.2170859511305	40.1325396751587
999998	-3.21716310092004	40.1338491897134
999998	-3.21690900858894	40.1348610100547
999998	-3.21492977203772	40.1344999616725
999998	-3.21394575283879	40.1348919219192
999998	-3.21282583190301	40.1346627709778
999998	-3.21294414528204	40.1326683669667
999998	-3.21435776499228	40.1325230916813
999998	-3.20971080361896	40.1332577945458
999998	-3.20991394989982	40.1319678734488
999998	-3.21017326560611	40.1309472214641
999998	-3.21095726460885	40.1300849535765
999998	-3.21142925949032	40.1315508300562
999998	-3.21151012983188	40.1293368972262
999998	-3.21148317305206	40.1276629480133
